Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
NEUROLOGY AND THERAPY,2193-8253,2193-6536,SPRINGER LONDON LTD,"236 GRAYS INN RD, 6TH FLOOR, LONDON, ENGLAND, WC1X 8HL",English,Clinical Neurology
NEUROLOGY ASIA,1823-6138,,ASEAN NEUROLOGICAL ASSOC,"UNIV MALAYA MEDICAL CENTRE, NEUROLOGY LABORATORY, KUALA LUMPUR, MALAYSIA, 59100",English,Clinical Neurology
NEUROLOGY-GENETICS,2376-7839,2376-7839,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,Clinical Neurology | Genetics & Heredity
NEUROLOGY INDIA,0028-3886,1998-4022,WOLTERS KLUWER MEDKNOW PUBLICATIONS,"WOLTERS KLUWER INDIA PVT LTD , A-202, 2ND FLR, QUBE, C T S  NO 1498A-2 VILLAGE MAROL, ANDHERI EAST, MUMBAI, India, Maharashtra, 400059",English,Neurosciences
NEUROLOGY-NEUROIMMUNOLOGY & NEUROINFLAMMATION,2332-7812,2332-7812,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,Clinical Neurology | Neurosciences
NEUROMODULATION,1094-7159,1525-1403,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Medicine, Research & Experimental | Clinical Neurology"
NEUROMOLECULAR MEDICINE,1535-1084,1559-1174,HUMANA PRESS INC,"999 RIVERVIEW DRIVE SUITE 208, TOTOWA, USA, NJ, 07512",English,Neurosciences
NEUROMUSCULAR DISORDERS,0960-8966,1873-2364,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,Clinical Neurology | Neurosciences
NEURON,0896-6273,1097-4199,CELL PRESS,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, USA, MA, 02139",English,Neurosciences
NEURO-ONCOLOGY,1522-8517,1523-5866,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",English,Oncology | Clinical Neurology
NEUROPATHOLOGY,0919-6544,1440-1789,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Pathology | Clinical Neurology | Neurosciences
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,0305-1846,1365-2990,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Pathology | Clinical Neurology | Neurosciences
NEUROPEDIATRICS,0174-304X,1439-1899,GEORG THIEME VERLAG KG,"RUDIGERSTR 14, STUTTGART, GERMANY, D-70469",English,Pediatrics | Clinical Neurology
NEUROPEPTIDES,0143-4179,1532-2785,CHURCHILL LIVINGSTONE,"JOURNAL PRODUCTION DEPT, ROBERT STEVENSON HOUSE, 1-3 BAXTERS PLACE, LEITH WALK, EDINBURGH, SCOTLAND, MIDLOTHIAN, EH1 3AF",English,Endocrinology & Metabolism | Neurosciences
NEUROPHARMACOLOGY,0028-3908,1873-7064,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,Pharmacology & Pharmacy | Neurosciences
NEUROPHOTONICS,2329-423X,2329-4248,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,"1000 20TH ST, PO BOX 10, BELLINGHAM, USA, WA, 98225",English,Optics | Neurosciences
NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY,0987-7053,1769-7131,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,"65 RUE CAMILLE DESMOULINS, CS50083, ISSY-LES-MOULINEAUX, FRANCE, 92442",Multi-Language,Physiology | Clinical Neurology | Neurosciences
NEUROPHYSIOLOGY,0090-2977,1573-9007,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Physiology | Neurosciences
NEUROPSYCHIATRIC DISEASE AND TREATMENT,1178-2021,1178-2021,DOVE MEDICAL PRESS LTD,"PO BOX 300-008, ALBANY, NEW ZEALAND, AUCKLAND, 0752",English,Clinical Neurology | Psychiatry
NEUROPSYCHOBIOLOGY,0302-282X,1423-0224,KARGER,"ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",English,Psychology | Psychiatry | Neurosciences
NEUROPSYCHOLOGIA,0028-3932,1873-3514,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,Behavioral Sciences | Neurosciences
NEUROPSYCHOLOGICAL REHABILITATION,0960-2011,1464-0694,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Psychology | Neurosciences
NEUROPSYCHOLOGY,0894-4105,1931-1559,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,Neurosciences | Psychology
NEUROPSYCHOLOGY REVIEW,1040-7308,1573-6660,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Neurosciences
NEUROPSYCHOPHARMACOLOGY,0893-133X,1740-634X,SPRINGERNATURE,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",English,Pharmacology & Pharmacy | Psychiatry | Neurosciences
NEURORADIOLOGY,0028-3940,1432-1920,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Clinical Neurology | Neuroimaging | Radiology, Nuclear Medicine & Medical Imaging"
NEUROREHABILITATION,1053-8135,1878-6448,IOS PRESS,"NIEUWE HEMWEG 6B, AMSTERDAM, NETHERLANDS, 1013 BG",English,Rehabilitation | Clinical Neurology
NEUROREHABILITATION AND NEURAL REPAIR,1545-9683,1552-6844,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,Rehabilitation | Clinical Neurology
NEUROREPORT,0959-4965,1473-558X,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,Neurosciences
NEUROSCIENCE,0306-4522,1873-7544,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,Neurosciences
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,0149-7634,1873-7528,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,Neurosciences | Behavioral Sciences
